UF,População,epiweek,corredor baixo,corredor mediano,corredor alto,ano,Unidade da Federação,Tipo,dado,escala
12,842290,21,0.0,0.20335007149703288,0.558488105614303,2017,Acre,Estado,srag,incidência
12,842290,22,0.0,0.17778800841751852,0.41111348094404176,2017,Acre,Estado,srag,incidência
12,842290,23,0.08999076105076109,0.3911031985412985,0.7753986346877944,2017,Acre,Estado,srag,incidência
12,842290,24,0.12183192987594492,0.45017354812839705,0.8746153177542917,2017,Acre,Estado,srag,incidência
12,842290,25,0.0,0.22960700075349935,0.574878703272941,2017,Acre,Estado,srag,incidência
12,842290,26,0.009952454159304569,0.2375237823147693,0.516373474303264,2017,Acre,Estado,srag,incidência
12,842290,27,0.05432756371155478,0.3527269813850661,0.7355804297911466,2017,Acre,Estado,srag,incidência
12,842290,28,0.08846200047484598,0.3431687287337297,0.6574783805600348,2017,Acre,Estado,srag,incidência
12,842290,29,0.0,0.2272291268325521,0.536872830588373,2017,Acre,Estado,srag,incidência
12,842290,30,0.017049862595622356,0.2920008250732773,0.6412824910372434,2017,Acre,Estado,srag,incidência
12,842290,31,0.0,0.2116094994156159,0.5113672900356652,2017,Acre,Estado,srag,incidência
12,842290,32,0.034053320082329634,0.251549005703144,0.5147912426332291,2017,Acre,Estado,srag,incidência
12,842290,33,0.17758948805942576,0.4571375536211344,0.8030475574913054,2017,Acre,Estado,srag,incidência
12,842290,34,0.1021032144905587,0.3409267653635666,0.6315028995714821,2017,Acre,Estado,srag,incidência
12,842290,35,0.0922627882766156,0.28257420393774835,0.506044704866347,2017,Acre,Estado,srag,incidência
12,842290,36,0.022239510911412408,0.27148699914146857,0.5815072414334401,2017,Acre,Estado,srag,incidência
12,842290,37,0.0,0.2939088805447416,0.6940847850037244,2017,Acre,Estado,srag,incidência
12,842290,38,0.05243933816808899,0.231403545247862,0.44080008819170624,2017,Acre,Estado,srag,incidência
12,842290,39,0.07429275557918412,0.2198208907733017,0.3850628684215269,2017,Acre,Estado,srag,incidência
12,842290,40,0.035889037253108665,0.2499573300021709,0.5082632122154618,2017,Acre,Estado,srag,incidência
12,842290,41,0.08757440083793623,0.2097606921329529,0.34567431074362553,2017,Acre,Estado,srag,incidência
12,842290,42,0.0,0.2429226919086802,0.5729215696568881,2017,Acre,Estado,srag,incidência
12,842290,43,0.0059292112990094745,0.14425514119115368,0.30160235276555225,2017,Acre,Estado,srag,incidência
12,842290,44,0.037248977934041916,0.21029508352691528,0.4122107809901068,2017,Acre,Estado,srag,incidência
12,842290,45,0.07452038783252046,0.20405697477262,0.3492095775148367,2017,Acre,Estado,srag,incidência
