UF,População,Média geométrica do pico de infecção das temporadas regulares,região de baixa atividade típica,limiar pré-epidêmico,intensidade alta,intensidade muito alta,SE típica do início do surto,"SE típica do início do surto - IC inferior (2,5%)","SE típica do início do surto - IC superior (97,5%)",duração típica do surto,"duração típica do surto - IC inferior (2,5%)","duração típica do surto - IC superior (97,5%)",temporadas utilizadas para os corredores endêmicos,ano,Unidade da Federação,Tipo,dado,escala
13,4124033,0.04231734499726656,1,0.012124054293454974,0.054386903244206815,0.07274432576072984,,,,,,,"2010, 2012, 2013, 2014, 2015, 2016",2017,Amazonas,Estado,sragflu,incidência
14,530879,0.2922086269925328,1,0.09418342032741923,0.3939782355524648,0.5651005219645155,,,,,,,"2012, 2013, 2016",2017,Roraima,Estado,sragflu,incidência
15,8457229,0.0694105487131251,0,0.016372309646776544,0.14867246813495072,0.2014289782395824,10.0,8.0,14.0,8.0,6.0,11.0,"2012, 2013, 2014, 2015",2017,Pará,Estado,sragflu,incidência
16,812961,0.214459339980842,1,0.061503565361684026,0.3210073152916197,0.41783291984715,,,,,,,"2010, 2012, 2013, 2016",2017,Amapá,Estado,sragflu,incidência
17,1567016,0.06857688397494263,1,0.03190777886122414,0.12763111544489655,0.1914466731673448,,,,,,,"2010, 2011, 2012, 2013, 2014",2017,Tocantins,Estado,sragflu,incidência
21,7043339,0.019270987421999803,1,0.007098905788859518,0.02839562315543807,0.042593434733157104,,,,,,,"2012, 2013, 2014, 2015, 2016",2017,Maranhão,Estado,sragflu,incidência
22,3224536,0.07326375826564578,1,0.015506106925151404,0.09132800114159713,0.11978470480976512,,,,,,,"2011, 2012, 2013, 2014, 2015, 2016",2017,Piauí,Estado,sragflu,incidência
23,9075744,0.0328416588299714,1,0.0055091902107419505,0.05237217148881945,0.06826174835685618,,,,,,,"2010, 2011, 2013, 2014, 2015, 2016",2017,Ceará,Estado,sragflu,incidência
24,3538218,0.06489648223651896,1,0.014131407392082681,0.09877830732468597,0.12721407171350266,,,,,,,"2010, 2011, 2012, 2013, 2014, 2015, 2016",2017,Rio Grande do Norte,Estado,sragflu,incidência
25,4050662,0.025660570272576143,1,0.01234366135708188,0.04937464542832752,0.07406196814249127,,,,,,,"2010, 2012, 2013, 2015",2017,Paraíba,Estado,sragflu,incidência
26,9534634,0.02308868358750477,0,0.010627033168234656,0.03343452075429965,0.042976624236896084,24.0,7.0,46.0,3.0,1.0,10.0,"2010, 2011, 2012, 2013, 2014, 2015",2017,Pernambuco,Estado,sragflu,incidência
27,3391142,0.03781176551818997,1,0.014744295579483252,0.07369340065417074,0.09157101117730826,,,,,,,"2010, 2012, 2013, 2014, 2015",2017,Alagoas,Estado,sragflu,incidência
28,2309961,0.0570448295263855,1,0.02164538708662181,0.08674789185677323,0.12987232251973085,,,,,,,"2010, 2015, 2016",2017,Sergipe,Estado,sragflu,incidência
29,15408073,0.016337029190032357,0,0.00908480817726505,0.02315458600375231,0.029627108937920758,22.0,8.0,48.0,9.0,1.0,14.0,"2010, 2011, 2012, 2013, 2014, 2015",2017,Bahia,Estado,sragflu,incidência
31,21235870,0.048827626730805984,0,0.01599766294740734,0.06970364135404546,0.11616745248642912,20.0,15.0,36.0,10.0,8.0,15.0,"2011, 2012, 2014, 2015",2017,Minas Gerais,Estado,sragflu,incidência
32,4058079,0.031088594784988918,1,0.012321100698138208,0.049284402792552834,0.07392660418882925,,,,,,,"2010, 2012, 2014, 2015",2017,Espírito Santo,Estado,sragflu,incidência
33,16798421,0.023306120195903675,0,0.01681252767887639,0.02871436441306097,0.03610722939936317,25.0,9.0,29.0,6.0,1.0,11.0,"2010, 2011, 2012, 2013, 2014, 2015",2017,Rio de Janeiro,Estado,sragflu,incidência
35,45429330,0.0318866915096074,0,0.01888987670636362,0.0607853553295595,0.09697225012120672,17.0,17.0,19.0,10.0,8.0,10.0,"2010, 2011, 2014, 2015",2017,São Paulo,Estado,sragflu,incidência
41,11396262,0.24821070037783075,0,0.08030801187560346,0.3319196515093454,0.5329562642650272,20.0,6.0,22.0,14.0,13.0,15.0,"2010, 2013, 2014, 2015",2017,Paraná,Estado,sragflu,incidência
42,7090682,0.09156062952044487,0,0.024139461277126628,0.12716656788905611,0.1578228462923732,24.0,18.0,26.0,10.0,6.0,16.0,"2010, 2011, 2014, 2015",2017,Santa Catarina,Estado,sragflu,incidência
43,11356804,0.4727855684145558,0,0.04594190754444221,0.7273061566957724,1.3443875654279642,22.0,13.0,27.0,10.0,9.0,12.0,"2011, 2012, 2013, 2014, 2016",2017,Rio Grande do Sul,Estado,sragflu,incidência
50,2743142,0.26823614524130024,0,0.04350693880964149,0.2956709247110558,0.37624761080232894,20.0,19.0,21.0,12.0,6.0,14.0,"2012, 2013, 2014, 2015",2017,Mato Grosso do Sul,Estado,sragflu,incidência
51,3382487,0.03554065670867213,1,0.014782022813391447,0.05912809125356579,0.08869213688034869,,,,,,,"2010, 2011, 2012, 2013, 2014, 2015",2017,Mato Grosso,Estado,sragflu,incidência
52,6860047,0.07409013733283072,0,0.027321479607590952,0.08613308634422269,0.12648199901054658,17.0,13.0,35.0,7.0,1.0,11.0,"2010, 2011, 2012, 2013, 2014, 2015",2017,Goiás,Estado,sragflu,incidência
53,3101220,0.09431346969412448,1,0.016122687200521086,0.12976675606767185,0.1645538679264813,,,,,,,"2010, 2011, 2013, 2014, 2015",2017,Distrito Federal,Estado,sragflu,incidência
BR,209186802,0.03333352547813099,0,0.012704102772469377,0.037279340965441166,0.049669217694338616,18.0,7.0,23.0,11.0,8.0,17.0,"2010, 2011, 2014, 2015",2017,Brasil,País,sragflu,incidência
CO,16086896,0.07645247294244835,0,0.029622357587770074,0.09718726701575156,0.15251896496346098,16.0,9.0,33.0,10.0,6.0,18.0,"2010, 2012, 2013, 2014, 2015",2017,Região Centro-oeste,Região,sragflu,incidência
N,18158149,0.022588645340635555,0,0.005573120857531403,0.027450496219589397,0.034884543479010384,10.0,7.0,22.0,6.0,3.0,13.0,"2011, 2012, 2014, 2015",2017,Região Norte,Região,sragflu,incidência
NE,57576309,0.01053998257209344,0,0.004354365925681511,0.015116688564784875,0.018948608498697173,9.0,3.0,16.0,11.0,5.0,13.0,"2011, 2012, 2013, 2014, 2015",2017,Região Nordeste,Região,sragflu,incidência
RegC,27921787,0.05985778080909788,0,0.019485703558918592,0.06266573818745473,0.08993794432478805,15.0,9.0,33.0,9.0,7.0,18.0,"2010, 2012, 2013, 2014, 2015",2017,Regional Centro,Regional,sragflu,incidência
RegL,68164934,0.012185004391086166,0,0.0058377063826972565,0.01882426546019777,0.02738876673871316,15.0,8.0,33.0,8.0,5.0,18.0,"2010, 2011, 2012, 2013, 2014, 2015",2017,Regional Leste,Regional,sragflu,incidência
RegN,16591133,0.024742294775545442,0,0.006878158970486364,0.031582295069782614,0.04022404803047275,10.0,9.0,22.0,6.0,3.0,9.0,"2011, 2012, 2014, 2015",2017,Regional Norte,Regional,sragflu,incidência
RegS,96508948,0.04687379181397855,0,0.01753658336637077,0.050089586915705864,0.06317264505289558,18.0,8.0,22.0,12.0,8.0,17.0,"2010, 2011, 2014, 2015",2017,Regional Sul,Regional,sragflu,incidência
S,29843748,0.11299475174372335,0,0.03623196636492251,0.10367150203551158,0.13132905321491373,20.0,8.0,23.0,14.0,9.0,16.0,"2010, 2011, 2014, 2015",2017,Região Sul,Região,sragflu,incidência
SE,87521700,0.02213116011160451,0,0.012980451228422974,0.04194129705265403,0.06313165372653859,17.0,17.0,20.0,9.0,6.0,9.0,"2010, 2011, 2014, 2015",2017,Região Sudeste,Região,sragflu,incidência
11,1823741,1.5025440665581338,1,0.5,2.0720613844620956,3.0,,,,,,,"2010, 2011, 2012, 2013, 2014, 2015",2017,Rondônia,Estado,sragflu,casos
12,842290,1.781789954283502,1,0.5,2.5174362886371195,3.3688469426365293,,,,,,,"2010, 2011, 2012, 2013, 2014, 2015, 2016",2017,Acre,Estado,sragflu,casos
13,4124033,1.745181272411122,1,0.5,2.2429338374691596,2.9999999999999996,,,,,,,"2010, 2012, 2013, 2014, 2015, 2016",2017,Amazonas,Estado,sragflu,casos
14,530879,1.5512742368916883,1,0.49999999999999994,2.0915477171185697,3.0000000000000004,,,,,,,"2012, 2013, 2016",2017,Roraima,Estado,sragflu,casos
15,8457229,5.870209054825542,0,1.3846437194169834,12.57357109012481,17.03530996208165,10.0,8.0,14.0,8.0,6.0,11.0,"2012, 2013, 2014, 2015",2017,Pará,Estado,sragflu,casos
16,812961,1.7434707949016528,1,0.5,2.609664280467904,3.396818683518589,,,,,,,"2010, 2012, 2013, 2016",2017,Amapá,Estado,sragflu,casos
17,1567016,1.0746107441887869,1,0.5,2.0,2.9999999999999996,,,,,,,"2010, 2011, 2012, 2013, 2014",2017,Tocantins,Estado,sragflu,casos
21,7043339,1.3573209727788067,1,0.5000000000000001,2.0000000000000004,3.0000000000000004,,,,,,,"2012, 2013, 2014, 2015, 2016",2017,Maranhão,Estado,sragflu,casos
22,3224536,2.3624162602287235,1,0.5,2.9449042748912104,3.8625009290846077,,,,,,,"2011, 2012, 2013, 2014, 2015, 2016",2017,Piauí,Estado,sragflu,casos
23,9075744,2.9806248807616,1,0.49999999999999994,4.753164211566242,6.195261530792473,,,,,,,"2010, 2011, 2013, 2014, 2015, 2016",2017,Ceará,Estado,sragflu,casos
24,3538218,2.2961790158593165,1,0.49999999999999994,3.494991849857357,4.5011111839000595,,,,,,,"2010, 2011, 2012, 2013, 2014, 2015, 2016",2017,Rio Grande do Norte,Estado,sragflu,casos
25,4050662,1.0394229690145382,1,0.5,2.0,2.9999999999999996,,,,,,,"2010, 2012, 2013, 2015",2017,Paraíba,Estado,sragflu,casos
26,9534634,2.2014214754866495,0,1.0132487176497786,3.187859183576511,4.097663826543334,24.0,7.0,46.0,3.0,1.0,10.0,"2010, 2011, 2012, 2013, 2014, 2015",2017,Pernambuco,Estado,sragflu,casos
27,3391142,1.2822506614288576,1,0.49999999999999994,2.4990478608118587,3.1053030198583946,,,,,,,"2010, 2012, 2013, 2014, 2015",2017,Alagoas,Estado,sragflu,casos
28,2309961,1.3177133145759898,1,0.49999999999999994,2.0038424702136375,3.0,,,,,,,"2010, 2015, 2016",2017,Sergipe,Estado,sragflu,casos
29,15408073,2.5172213836314943,0,1.3997938758629682,3.567675514305938,4.564966572944354,22.0,8.0,48.0,9.0,1.0,14.0,"2010, 2011, 2012, 2013, 2014, 2015",2017,Bahia,Estado,sragflu,casos
31,21235870,10.36897133663921,0,3.397242906549591,14.802174663211332,24.669169192329857,20.0,15.0,36.0,10.0,8.0,15.0,"2011, 2012, 2014, 2015",2017,Minas Gerais,Estado,sragflu,casos
32,4058079,1.2615997363647304,1,0.5,2.0,3.0,,,,,,,"2010, 2012, 2014, 2015",2017,Espírito Santo,Estado,sragflu,casos
33,16798421,3.9150601892739236,0,2.824239180239184,4.823559821580161,6.065444405940797,25.0,9.0,29.0,6.0,1.0,11.0,"2010, 2011, 2012, 2013, 2014, 2015",2017,Rio de Janeiro,Estado,sragflu,casos
35,45429330,14.485910311981527,0,8.58154442552706,27.61437966433817,44.0538435159884,17.0,17.0,19.0,10.0,8.0,10.0,"2010, 2011, 2014, 2015",2017,São Paulo,Estado,sragflu,casos
41,11396262,28.286741727092583,0,9.152111440334885,37.82643311549195,60.73709222105487,20.0,6.0,22.0,14.0,13.0,15.0,"2010, 2013, 2014, 2015",2017,Paraná,Estado,sragflu,casos
42,7090682,6.492273076492871,0,1.7116524356741878,9.016976939327082,11.190716153940974,24.0,18.0,26.0,10.0,6.0,16.0,"2010, 2011, 2014, 2015",2017,Santa Catarina,Estado,sragflu,casos
43,11356804,53.69333034512701,0,5.2175323936835145,82.59873469587174,152.67946080602565,22.0,13.0,27.0,10.0,9.0,12.0,"2011, 2012, 2013, 2014, 2016",2017,Rio Grande do Sul,Estado,sragflu,casos
50,2743142,7.358098359295108,0,1.1934571114015757,8.110673317537351,10.321006235915222,20.0,19.0,21.0,12.0,6.0,14.0,"2012, 2013, 2014, 2015",2017,Mato Grosso do Sul,Estado,sragflu,casos
51,3382487,1.2021580928854627,1,0.4999999999999999,1.9999999999999996,2.9999999999999996,,,,,,,"2010, 2011, 2012, 2013, 2014, 2015",2017,Mato Grosso,Estado,sragflu,casos
52,6860047,5.082618243396734,0,1.874266342176155,5.908770205764259,8.67672457866303,17.0,13.0,35.0,7.0,1.0,11.0,"2010, 2011, 2012, 2013, 2014, 2015",2017,Goiás,Estado,sragflu,casos
53,3101220,2.924868184848127,1,0.5,4.024352592521853,5.103177462909623,,,,,,,"2010, 2011, 2013, 2014, 2015",2017,Distrito Federal,Estado,sragflu,casos
BR,209186802,69.72933594155742,0,26.575306312522024,77.98346117228229,103.90144807320507,18.0,7.0,23.0,11.0,8.0,17.0,"2010, 2011, 2014, 2015",2017,Brasil,País,sragflu,casos
