dataset_id,territory_id,epiyear,epiweek,alert
2,0,2017,32,1
2,0,2017,33,1
2,0,2017,34,2
2,0,2017,35,2
2,0,2017,36,2
2,0,2017,37,2
2,0,2017,38,2
2,0,2017,39,2
2,0,2017,40,2
2,0,2017,41,2
2,0,2017,42,2
2,0,2017,43,2
2,0,2017,44,2
2,0,2017,45,1
2,0,2017,46,1
2,0,2017,47,1
2,0,2017,48,2
2,0,2017,49,1
2,0,2017,50,1
2,0,2017,51,1
2,0,2017,52,1
3,0,2017,1,1
3,0,2017,2,1
3,0,2017,3,1
3,0,2017,4,1
3,0,2017,5,1
3,0,2017,6,1
3,0,2017,7,1
3,0,2017,8,1
3,0,2017,9,2
3,0,2017,10,1
3,0,2017,11,2
3,0,2017,12,2
3,0,2017,13,2
3,0,2017,14,1
3,0,2017,15,2
3,0,2017,16,2
3,0,2017,17,2
3,0,2017,18,2
3,0,2017,19,2
3,0,2017,20,2
3,0,2017,21,2
3,0,2017,22,2
3,0,2017,23,2
3,0,2017,24,2
3,0,2017,25,2
3,0,2017,26,2
3,0,2017,27,2
3,0,2017,28,2
3,0,2017,29,2
3,0,2017,30,1
3,0,2017,31,1
3,0,2017,32,1
3,0,2017,33,1
3,0,2017,34,1
3,0,2017,35,1
3,0,2017,36,1
3,0,2017,37,2
3,0,2017,38,1
3,0,2017,39,1
3,0,2017,40,1
3,0,2017,41,2
3,0,2017,42,2
3,0,2017,43,1
3,0,2017,44,1
3,0,2017,45,1
3,0,2017,46,1
3,0,2017,47,1
3,0,2017,48,1
3,0,2017,49,1
3,0,2017,50,1
3,0,2017,51,1
3,0,2017,52,1
1,0,2018,1,1
1,0,2018,2,1
1,0,2018,3,1
1,0,2018,4,1
1,0,2018,5,1
1,0,2018,6,1
1,0,2018,7,1
1,0,2018,8,1
1,0,2018,9,1
1,0,2018,10,2
1,0,2018,11,2
1,0,2018,12,2
1,0,2018,13,2
1,0,2018,14,2
1,0,2018,15,3
1,0,2018,16,3
1,0,2018,17,3
1,0,2018,18,3
1,0,2018,19,3
1,0,2018,20,3
1,0,2018,21,3
1,0,2018,22,3
1,0,2018,23,3
2,0,2018,1,1
2,0,2018,2,1
2,0,2018,3,1
2,0,2018,4,1
2,0,2018,5,1
2,0,2018,6,1
2,0,2018,7,1
2,0,2018,8,1
2,0,2018,9,2
2,0,2018,10,2
